route_name,direction_group,route_variant_id,cluster_id,heuristic_label,confirmed_type,confirmed,notes
97,direction_A,12,97_direction_A_cluster_1,blocked,blocked,False,
97,direction_A,13,97_direction_A_cluster_1,blocked,blocked,False,
97,direction_A,14,97_direction_A_cluster_1,blocked,blocked,False,
97,direction_A,15,,regular,regular,False,
97,direction_A,16,97_direction_A_cluster_1,blocked,blocked,False,
97,direction_A,17,97_direction_A_cluster_1,blocked,blocked,False,
97,direction_A,18,,regular,regular,False,
97,direction_A,19,,regular,regular,False,
97,direction_A,20,,regular,regular,False,
97,direction_A,21,,regular,regular,False,
97,direction_B,1,,regular,regular,False,
97,direction_B,2,,regular,regular,False,
97,direction_B,3,97_direction_B_cluster_1,blocked,blocked,False,
97,direction_B,4,,regular,regular,False,
97,direction_B,5,97_direction_B_cluster_1,blocked,blocked,False,
97,direction_B,6,97_direction_B_cluster_1,blocked,blocked,False,
97,direction_B,7,97_direction_B_cluster_1,blocked,blocked,False,
97,direction_B,8,97_direction_B_cluster_1,blocked,blocked,False,
97,direction_B,9,97_direction_B_cluster_1,blocked,blocked,False,
97,direction_B,10,97_direction_B_cluster_1,blocked,blocked,False,
97,direction_B,11,,regular,regular,False,
97,direction_B,12,,regular,regular,False,
97,direction_B,13,,regular,regular,False,
97,direction_B,14,,regular,regular,False,
97,direction_B,15,97_direction_B_cluster_2,blocked,blocked,False,
97,direction_B,16,97_direction_B_cluster_1,blocked,blocked,False,
97,direction_B,17,97_direction_B_cluster_1,blocked,blocked,False,
97,direction_B,18,97_direction_B_cluster_1,blocked,blocked,False,
97,direction_B,19,,regular,regular,False,
97,direction_B,20,,regular,regular,False,
97,direction_B,21,,regular,regular,False,
97,direction_B,22,,regular,regular,False,
14,direction_A,1,,regular,regular,False,
14,direction_A,2,,regular,regular,False,
14,direction_A,3,,regular,regular,False,
14,direction_A,4,,regular,regular,False,
14,direction_A,5,,regular,regular,False,
14,direction_A,6,,regular,regular,False,
14,direction_A,7,14_direction_A_cluster_1,blocked,blocked,False,
14,direction_A,8,14_direction_A_cluster_1,blocked,blocked,False,
14,direction_B,1,,regular,regular,False,
14,direction_B,2,,regular,regular,False,
14,direction_B,3,14_direction_B_cluster_1,blocked,blocked,False,
