route_id,month,DayOfWeek,HourSourceTime,StopSequence_Rishui,n_rows_in_group,n_distinct_stopcodes,winning_stopcode,winning_stopcode_votes,ambiguous
11108,1,4,12,8,4,2,952,2,True
11108,1,4,12,9,4,2,953,2,True
11108,1,4,12,10,4,2,954,2,True
5502,1,5,12,42,3,2,6028,2,False
11107,1,5,12,67,3,2,3093,2,False
11108,1,5,12,1,3,2,1711,2,False
11108,1,5,12,2,3,2,6189,2,False
11108,1,5,12,3,3,2,202,2,False
11108,1,5,12,4,3,2,1586,2,False
11108,1,5,12,5,3,2,1525,2,False
11108,1,5,12,6,3,2,947,2,False
11108,1,5,12,7,3,2,948,2,False
11108,1,5,12,8,3,2,952,2,False
11108,1,5,12,9,3,2,953,2,False
11108,1,5,12,10,3,2,954,2,False
5502,1,6,12,42,3,2,6028,2,False
11107,1,6,12,67,3,2,3093,2,False
11108,1,6,12,1,3,2,1711,2,False
11108,1,6,12,2,3,2,6189,2,False
11108,1,6,12,3,3,2,202,2,False
11108,1,6,12,4,3,2,1586,2,False
11108,1,6,12,5,3,2,1525,2,False
11108,1,6,12,6,3,2,947,2,False
11108,1,6,12,7,3,2,948,2,False
11108,1,6,12,8,3,2,952,2,False
11108,1,6,12,9,3,2,953,2,False
11108,1,6,12,10,3,2,954,2,False
5502,1,1,13,42,3,2,6028,2,False
11107,1,1,13,67,3,2,3093,2,False
11108,1,1,13,1,3,2,1711,2,False
11108,1,1,13,2,3,2,6189,2,False
11108,1,1,13,3,3,2,202,2,False
11108,1,1,13,4,3,2,1586,2,False
11108,1,1,13,5,3,2,1525,2,False
11108,1,1,13,6,3,2,947,2,False
11108,1,1,13,7,3,2,948,2,False
11108,1,1,13,8,3,2,952,2,False
11108,1,1,13,9,3,2,953,2,False
11108,1,1,13,10,3,2,954,2,False
5502,1,2,13,42,3,2,6028,2,False
11107,1,2,13,67,3,2,3093,2,False
11108,1,2,13,1,3,2,1711,2,False
11108,1,2,13,2,3,2,6189,2,False
