route_name,direction_group,route_variant_id,count,n_stops,ref_n_stops,n_missing,missing_fraction,missing_stop_names,heuristic_label,cluster_id,in_display_set
19,direction_B,2,52,32,37,5,0.135,"['אוסישקין/נרקיס', ""אוסישקין/רמב''ן"", 'ארלוזורוב/שדרות בן מיימון', ""עזה/רד''ק"", 'עזה/הרב ברלין']",blocked,19_direction_B_cluster_1,True
19,direction_B,4,12,29,37,25,0.676,"['מסוף הר הצופים/בנימין מזר', 'בית ספר לחינוך/בנימין מזר', 'האוניברסיטה העברית הר הצופים/מרטין בובר', ""האוניברסיטה העברית/שד' צ'רצ'יל"", ""הדסה הר הצופים/שד' צ'רצ'יל"", ""קציר/שד' צ'רצ'יל"", 'שדרות האוניברסיטה העברית/קציר', 'שדרות חיים ברלב/שרגאי', ""תחנת רקל''ה שמעון הצדיק/שדרות בר לב"", 'שדרות בר לב/זקס', 'שבטי ישראל/שומרי אמונים', 'הנביאים/שבטי ישראל', 'הנביאים/הרב קוק', ""כי''ח/יפו"", 'עליאש', 'בצלאל/טרומפלדור', 'אוסישקין/בצלאל', 'אוסישקין/נרקיס', ""אוסישקין/רמב''ן"", 'ארלוזורוב/שדרות בן מיימון', ""עזה/רד''ק"", 'עזה/הרב ברלין', 'הרצוג/טשרניחובסקי', 'הרצוג/ניות', ""הרב הרצוג/שח''ל""]",ambiguous,19_direction_B_cluster_1,True
19,direction_B,5,12,12,37,25,0.676,"['מסוף הר הצופים/בנימין מזר', 'בית ספר לחינוך/בנימין מזר', 'האוניברסיטה העברית הר הצופים/מרטין בובר', ""האוניברסיטה העברית/שד' צ'רצ'יל"", ""הדסה הר הצופים/שד' צ'רצ'יל"", ""קציר/שד' צ'רצ'יל"", 'שדרות האוניברסיטה העברית/קציר', 'שדרות חיים ברלב/שרגאי', ""תחנת רקל''ה שמעון הצדיק/שדרות בר לב"", 'שדרות בר לב/זקס', 'שבטי ישראל/שומרי אמונים', 'הנביאים/שבטי ישראל', 'הנביאים/הרב קוק', ""כי''ח/יפו"", 'עליאש', 'בצלאל/טרומפלדור', 'אוסישקין/בצלאל', 'אוסישקין/נרקיס', ""אוסישקין/רמב''ן"", 'ארלוזורוב/שדרות בן מיימון', ""עזה/רד''ק"", 'עזה/הרב ברלין', 'הרצוג/טשרניחובסקי', 'הרצוג/ניות', ""הרב הרצוג/שח''ל""]",ambiguous,19_direction_B_cluster_1,False
19,direction_B,8,2,31,37,6,0.162,"['בית ספר לחינוך/בנימין מזר', 'אוסישקין/נרקיס', ""אוסישקין/רמב''ן"", 'ארלוזורוב/שדרות בן מיימון', ""עזה/רד''ק"", 'עזה/הרב ברלין']",blocked,19_direction_B_cluster_1,False
19,direction_B,10,1,33,37,4,0.108,"['אוסישקין/נרקיס', 'ארלוזורוב/שדרות בן מיימון', ""עזה/רד''ק"", 'עזה/הרב ברלין']",blocked,19_direction_B_cluster_1,False
19,direction_B,1,62,34,37,3,0.081,"['ארלוזורוב/שדרות בן מיימון', ""עזה/רד''ק"", 'עזה/הרב ברלין']",regular,,True
19,direction_B,3,17,36,37,1,0.027,['עזה/הרב ברלין'],regular,,True
19,direction_B,6,2,35,37,2,0.054,"['ארלוזורוב/שדרות בן מיימון', 'עזה/הרב ברלין']",regular,,False
19,direction_B,7,2,36,37,1,0.027,['ארלוזורוב/שדרות בן מיימון'],regular,,False
19,direction_B,9,1,35,37,2,0.054,"['ארלוזורוב/שדרות בן מיימון', ""עזה/רד''ק""]",regular,,False
19,direction_B,11,1,36,37,1,0.027,['בית ספר לחינוך/בנימין מזר'],regular,,False
22,direction_A,3,2,47,55,8,0.145,"['עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""המלך ג'ורג'/קק''ל"", 'שטראוס/פראג', 'ככר השבת/שטראוס', 'יחזקאל/הושע', 'יחזקאל/רבנו גרשום']",blocked,22_direction_A_cluster_1,True
22,direction_A,10,1,49,55,6,0.109,"['עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""המלך ג'ורג'/קק''ל"", ""המלך ג'ורג'/בן יהודה"", 'שטראוס/פראג']",blocked,22_direction_A_cluster_1,True
22,direction_A,1,96,51,55,4,0.073,"['עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""המלך ג'ורג'/קק''ל""]",regular,,True
22,direction_A,2,2,54,55,1,0.018,['עזה/הרב ברלין'],regular,,True
22,direction_A,4,2,52,55,3,0.055,"[""עזה/רד''ק"", 'עזה/בלפור', ""המלך ג'ורג'/קק''ל""]",regular,,True
22,direction_A,5,2,51,55,4,0.073,"['שטראוס/פראג', 'ככר השבת/שטראוס', 'יחזקאל/הושע', 'יחזקאל/רבנו גרשום']",regular,,False
22,direction_A,6,1,52,55,3,0.055,"['ככר השבת/שטראוס', 'יחזקאל/הושע', 'יחזקאל/רבנו גרשום']",regular,,False
22,direction_A,7,1,53,55,2,0.036,"['עזה/הרב ברלין', ""עזה/רד''ק""]",regular,,True
22,direction_A,8,1,54,55,1,0.018,['ארץ חפץ/חטיבת הראל'],regular,,False
22,direction_A,9,1,54,55,1,0.018,['יחזקאל/רבנו גרשום'],regular,,False
22,direction_A,11,1,53,55,2,0.036,"['יחזקאל/הושע', 'יחזקאל/רבנו גרשום']",regular,,False
22,direction_A,12,1,54,55,1,0.018,"[""עזה/רד''ק""]",regular,,True
22,direction_A,13,1,52,55,3,0.055,"['חיל האויר/הסיירת הירושלמית', 'פארק ארכיאולוגי/חיל האויר', ""תחנת רקל''ה חיל האויר/משה דיין""]",regular,,False
22,direction_A,14,1,54,55,1,0.018,"[""המלך ג'ורג'/קק''ל""]",regular,,True
22,direction_B,7,1,41,52,11,0.212,"[""שד' אשכול/ששת הימים"", 'שדרות לוי אשכול/קרל נטר', 'שדרות לוי אשכול/משמר הגבול', 'ארץ חפץ/חטיבת הראל', 'פיתוחי חותם', 'יחזקאל/רבנו גרשום', 'יחזקאל/כיכר השבת ', 'ככר השבת/שטראוס', ""תחנת רקל''ה יפו מרכז/שטראוס"", ""המלך ג'ורג'/בן יהודה"", 'Unknown(4175)']",blocked,22_direction_B_cluster_1,False
22,direction_B,1,112,52,52,1,0.019,['Unknown(6028)'],regular,,True
22,direction_B,2,29,51,52,1,0.019,['Unknown(4175)'],regular,,True
22,direction_B,3,5,49,52,3,0.058,"['יחזקאל/רבנו גרשום', 'יחזקאל/כיכר השבת ', 'ככר השבת/שטראוס']",regular,,True
22,direction_B,4,3,51,52,2,0.038,"['Unknown(4175)', 'Unknown(6028)']",regular,,False
22,direction_B,5,2,50,52,2,0.038,"['Unknown(4175)', 'עזה/הרב ברלין']",regular,,False
22,direction_B,6,1,50,52,2,0.038,"['Unknown(4175)', 'ככר צרפת/שדרות בן מיימון']",regular,,False
97,direction_A,1,22,26,30,4,0.133,"['סעדיה גאון', 'מטודלה', ""עזה/רד''ק"", 'עזה/בלפור']",blocked,97_direction_A_cluster_1,True
97,direction_A,3,7,26,30,4,0.133,"['בית משפט העליון/זוסמן', 'גן הורדים/זוסמן', 'הכנסת/קפלן', 'מוזיאון ישראל/רופין']",blocked,97_direction_A_cluster_1,True
97,direction_A,4,4,22,30,8,0.267,"['בית משפט העליון/זוסמן', 'גן הורדים/זוסמן', 'הכנסת/קפלן', 'מוזיאון ישראל/רופין', 'סעדיה גאון', 'מטודלה', ""עזה/רד''ק"", 'עזה/בלפור']",blocked,97_direction_A_cluster_1,False
97,direction_A,5,2,27,30,3,0.1,"['גן הורדים/זוסמן', 'הכנסת/קפלן', 'מוזיאון ישראל/רופין']",blocked,97_direction_A_cluster_1,False
97,direction_A,6,2,25,30,5,0.167,"['מוזיאון ישראל/רופין', 'סעדיה גאון', 'מטודלה', ""עזה/רד''ק"", 'עזה/בלפור']",blocked,97_direction_A_cluster_1,False
97,direction_A,9,2,24,30,6,0.2,"['סעדיה גאון', 'מטודלה', ""עזה/רד''ק"", 'עזה/בלפור', 'קרן היסוד/אחד העם', 'קרן היסוד/שלום עליכם']",blocked,97_direction_A_cluster_1,False
97,direction_A,11,1,27,30,3,0.1,"['מטודלה', ""עזה/רד''ק"", 'עזה/בלפור']",blocked,97_direction_A_cluster_1,False
97,direction_A,12,1,23,30,7,0.233,"['סעדיה גאון', 'מטודלה', ""עזה/רד''ק"", 'עזה/בלפור', 'קרן היסוד/אחד העם', 'קרן היסוד/שלום עליכם', 'גן הפעמון/דרך בית לחם']",blocked,97_direction_A_cluster_1,False
97,direction_A,13,1,20,30,10,0.333,"['סעדיה גאון', 'מטודלה', ""עזה/רד''ק"", 'עזה/בלפור', 'קרן היסוד/אחד העם', 'קרן היסוד/שלום עליכם', 'גן הפעמון/דרך בית לחם', ""עמק רפאים/לויד גורג'"", 'עמק רפאים/הצפירה', 'עמק רפאים/עוזיה']",blocked,97_direction_A_cluster_1,False
97,direction_A,14,1,22,30,8,0.267,"['סעדיה גאון', 'מטודלה', ""עזה/רד''ק"", 'עזה/בלפור', 'קרן היסוד/אחד העם', 'קרן היסוד/שלום עליכם', 'גן הפעמון/דרך בית לחם', ""עמק רפאים/לויד גורג'""]",blocked,97_direction_A_cluster_1,False
97,direction_A,16,1,27,30,3,0.1,"['סעדיה גאון', 'מטודלה', ""עזה/רד''ק""]",blocked,97_direction_A_cluster_1,False
97,direction_A,17,1,23,30,7,0.233,"['בית משפט העליון/זוסמן', 'גן הורדים/זוסמן', 'הכנסת/קפלן', 'מוזיאון ישראל/רופין', 'סעדיה גאון', 'מטודלה', ""עזה/רד''ק""]",blocked,97_direction_A_cluster_1,False
97,direction_A,2,15,29,30,1,0.033,['מטודלה'],regular,,True
97,direction_A,7,2,29,30,1,0.033,['עזה/בלפור'],regular,,False
97,direction_A,8,2,29,30,1,0.033,"[""עזה/רד''ק""]",regular,,False
97,direction_A,10,1,28,30,2,0.067,"[""עזה/רד''ק"", 'עזה/בלפור']",regular,,False
97,direction_A,15,1,28,30,2,0.067,"['גן הורדים/זוסמן', 'הכנסת/קפלן']",regular,,False
97,direction_A,18,1,29,30,1,0.033,['מוזיאון ישראל/רופין'],regular,,False
97,direction_A,19,1,28,30,2,0.067,"['סעדיה גאון', 'מטודלה']",regular,,False
97,direction_A,20,1,29,30,1,0.033,['Unknown(2276)'],regular,,False
97,direction_A,21,1,28,30,2,0.067,"['תחנה תפעולית/ביטוח לאומי', 'ביטוח לאומי']",regular,,False
97,direction_B,3,8,25,34,9,0.265,"['ארלוזורוב/שדרות בן מיימון', ""עזה/רד''ק"", 'מטודלה', 'סעדיה גאון', 'רופין/דיסקין', ""רופין/שד' הזז"", 'קפלן/רופין', 'הכנסת/קפלן', 'גן הורדים/זוסמן']",blocked,97_direction_B_cluster_1,True
97,direction_B,5,7,30,34,4,0.118,"['הכנסת/קפלן', 'גן הורדים/זוסמן', 'בית המשפט העליון/זוסמן', ""משרד החוץ/שד' רבין""]",blocked,97_direction_B_cluster_1,True
97,direction_B,6,4,29,34,5,0.147,"['ארלוזורוב/שדרות בן מיימון', ""עזה/רד''ק"", 'מטודלה', 'סעדיה גאון', 'רופין/דיסקין']",blocked,97_direction_B_cluster_1,False
97,direction_B,7,3,30,34,4,0.118,"['ארלוזורוב/שדרות בן מיימון', ""עזה/רד''ק"", 'מטודלה', 'סעדיה גאון']",blocked,97_direction_B_cluster_1,False
97,direction_B,8,3,25,34,9,0.265,"['עמק רפאים/עוזיה', 'עמק רפאים/הצפירה', ""עמק רפאים/לויד גורג'"", 'גן הפעמון/דרך בית לחם', 'קרן היסוד/שלום עליכם', 'ארלוזורוב/שדרות בן מיימון', ""עזה/רד''ק"", 'מטודלה', 'סעדיה גאון']",blocked,97_direction_B_cluster_1,False
97,direction_B,9,2,30,34,4,0.118,"[""עזה/רד''ק"", 'מטודלה', 'הכנסת/קפלן', 'גן הורדים/זוסמן']",blocked,97_direction_B_cluster_1,False
97,direction_B,10,2,24,34,10,0.294,"['ארלוזורוב/שדרות בן מיימון', ""עזה/רד''ק"", 'מטודלה', 'סעדיה גאון', 'רופין/דיסקין', ""רופין/שד' הזז"", 'קפלן/רופין', 'הכנסת/קפלן', 'גן הורדים/זוסמן', ""גשר המיתרים/שד' הרצל""]",blocked,97_direction_B_cluster_1,False
97,direction_B,16,1,28,34,6,0.176,"[""עזה/רד''ק"", 'מטודלה', ""רופין/שד' הזז"", 'קפלן/רופין', 'הכנסת/קפלן', 'גן הורדים/זוסמן']",blocked,97_direction_B_cluster_1,False
