stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
38123,6286,ש''י עגנון/קצנלסון,רחוב: שדרות ש''י עגנון עיר: ירושלים רציף:  קומה: ,31.761047,35.204508
38681,6300,שדרות יצחק בן צבי/בצלאל,רחוב: שדרות בן צבי עיר: ירושלים רציף:  קומה: ,31.781903,35.208398
38682,6299,שדרות יצחק בן צבי/בצלאל,רחוב: שדרות בן צבי 11 עיר: ירושלים רציף:  קומה: ,31.782368,35.208561
40026,463,שדרות שז''ר/בנייני האומה,רחוב: שדרות שז''ר עיר: ירושלים רציף:  קומה: ,31.787547,35.202639
40778,623,שדרות בן צבי/הרב שמואל ברוך,רחוב: שדרות בן צבי עיר: ירושלים רציף:  קומה: ,31.785992,35.207083
42749,6215,פארק ארכיאולוגי/חיל האויר,רחוב: חיל האוויר 65 עיר: ירושלים רציף:  קומה: ,31.831467,35.23964
43847,1371,האוניברסיטה העברית הר הצופים/מרטין בובר,רחוב: מרטין בובר עיר: ירושלים רציף:  קומה: ,31.795268,35.243206
43848,1370,מסוף הר הצופים/מרטין בובר,רחוב: מרטין בובר עיר: ירושלים רציף:  קומה: ,31.791037,35.247036
43850,1368,מחנה עופרית/מרטין בובר,רחוב: מרטין בובר עיר: ירושלים רציף:  קומה: ,31.79418,35.249122
43851,1367,אקדמיה בצלאל/מרטין בובר,רחוב: מרטין בובר עיר: ירושלים רציף:  קומה: ,31.792778,35.248272
48664,1698,בית הנוער העברי/הרב הרצוג,רחוב: הרב הרצוג עיר: ירושלים רציף:  קומה: ,31.759591,35.200001
50150,1963,שדרות בן צבי/הרב שמואל ברוך,רחוב: שדרות בן צבי 6 עיר: ירושלים רציף:  קומה: ,31.785841,35.207385
