route_name,day_label,month,share,n
15,Fri,11,0.0,10
15,Fri,12,0.0,10
15,Sat,1,0.0,7
15,Sat,2,0.0,0
15,Sat,3,0.0,5
15,Sat,4,0.0,4
15,Sat,5,0.0,3
15,Sat,6,0.0,4
15,Sat,7,0.0,4
15,Sat,8,0.0,5
15,Sat,9,0.0,5
15,Sat,10,0.0,5
15,Sat,11,0.0,7
15,Sat,12,0.0,7
17,Sun,1,0.0,21
17,Sun,2,0.0,21
17,Sun,3,0.0,23
17,Sun,4,0.0,16
17,Sun,5,0.6,10
17,Sun,6,0.0,21
17,Sun,7,0.0625,16
17,Sun,8,0.0,4
17,Sun,9,0.0,26
17,Sun,10,0.05263157894736842,19
17,Sun,11,0.0,10
17,Sun,12,0.0,25
17,Mon,1,0.0,24
17,Mon,2,0.0,21
17,Mon,3,0.0,16
17,Mon,4,0.2,15
17,Mon,5,0.9,10
17,Mon,6,0.2857142857142857,7
17,Mon,7,0.0,22
17,Mon,8,0.25,4
17,Mon,9,0.0,31
17,Mon,10,0.5454545454545454,11
17,Mon,11,0.0,6
17,Mon,12,0.0,23
17,Tue,1,0.0,23
17,Tue,2,0.0,16
17,Tue,3,0.0,20
17,Tue,4,0.0,19
17,Tue,5,0.8571428571428571,7
17,Tue,6,0.0,10
17,Tue,7,0.0,30
17,Tue,8,0.0,4
17,Tue,9,0.05263157894736842,19
17,Tue,10,0.034482758620689655,29
17,Tue,11,0.0,17
17,Tue,12,0.0,28
17,Wed,1,0.0,22
17,Wed,2,0.0,15
17,Wed,3,0.05,20
17,Wed,4,0.21428571428571427,14
17,Wed,5,0.125,16
17,Wed,6,0.0,1
17,Wed,7,0.0,28
17,Wed,8,0.0,4
17,Wed,9,0.0,15
17,Wed,10,0.0,21
17,Wed,11,0.6666666666666666,21
17,Wed,12,0.19047619047619047,21
17,Thu,1,0.043478260869565216,23
17,Thu,2,0.03333333333333333,30
17,Thu,3,0.0,20
17,Thu,4,0.375,16
17,Thu,5,0.0625,16
17,Thu,6,0.0,18
17,Thu,7,0.05263157894736842,19
17,Thu,8,0.0,6
17,Thu,9,0.05,20
17,Thu,10,0.0,3
17,Thu,11,0.0,21
17,Thu,12,0.05,20
17,Fri,1,0.0625,16
17,Fri,2,0.0,15
17,Fri,3,0.8181818181818182,11
17,Fri,4,0.07142857142857142,14
17,Fri,5,0.09090909090909091,11
17,Fri,6,0.0,16
17,Fri,7,0.0,16
17,Fri,8,0.0,0
17,Fri,9,0.0,12
17,Fri,10,0.0,0
17,Fri,11,0.125,16
17,Fri,12,0.0,15
17,Sat,1,0.45454545454545453,11
17,Sat,2,0.6,10
17,Sat,3,0.75,8
17,Sat,4,1.0,4
17,Sat,5,1.0,3
17,Sat,6,1.0,6
17,Sat,7,0.8571428571428571,7
17,Sat,8,1.0,6
17,Sat,9,1.0,8
17,Sat,10,1.0,8
17,Sat,11,0.8,10
17,Sat,12,0.0,1
19,Sun,1,0.0,43
19,Sun,2,0.0,38
19,Sun,3,0.0,38
19,Sun,4,0.0,37
19,Sun,5,0.43478260869565216,23
19,Sun,6,0.0,43
19,Sun,7,0.11904761904761904,42
19,Sun,8,0.0,16
19,Sun,9,0.0,43
19,Sun,10,0.14634146341463414,41
19,Sun,11,0.025,40
19,Sun,12,0.0,43
19,Mon,1,0.0,43
19,Mon,2,0.0,43
19,Mon,3,0.0,41
19,Mon,4,0.175,40
19,Mon,5,0.8461538461538461,26
19,Mon,6,0.21621621621621623,37
19,Mon,7,0.0,43
19,Mon,8,0.0,16
19,Mon,9,0.023255813953488372,43
19,Mon,10,0.5,42
19,Mon,11,0.0,43
19,Mon,12,0.0,43
19,Tue,1,0.0,43
19,Tue,2,0.0,41
19,Tue,3,0.0,42
19,Tue,4,0.05,40
19,Tue,5,0.64,25
19,Tue,6,0.18421052631578946,38
19,Tue,7,0.023255813953488372,43
19,Tue,8,0.0,17
19,Tue,9,0.0,41
19,Tue,10,0.0,41
19,Tue,11,0.0,43
19,Tue,12,0.0,41
19,Wed,1,0.0,43
19,Wed,2,0.0,41
19,Wed,3,0.0,42
19,Wed,4,0.2926829268292683,41
19,Wed,5,0.075,40
19,Wed,6,0.0,33
19,Wed,7,0.0,43
19,Wed,8,0.0,17
19,Wed,9,0.023809523809523808,42
19,Wed,10,0.06060606060606061,33
19,Wed,11,0.5116279069767442,43
19,Wed,12,0.1951219512195122,41
19,Thu,1,0.0,43
19,Thu,2,0.0,43
19,Thu,3,0.0,28
19,Thu,4,0.3157894736842105,38
19,Thu,5,0.0,41
19,Thu,6,0.06976744186046512,43
19,Thu,7,0.046511627906976744,43
19,Thu,8,0.0,17
19,Thu,9,0.0,43
19,Thu,10,0.06451612903225806,31
19,Thu,11,0.0,43
19,Thu,12,0.0,43
19,Fri,1,0.0,24
19,Fri,2,0.0,25
19,Fri,3,0.0,18
19,Fri,4,0.0,26
19,Fri,5,0.0,26
19,Fri,6,0.0,24
19,Fri,7,0.0,24
19,Fri,8,0.0,0
19,Fri,9,0.0,21
19,Fri,10,0.06666666666666667,15
19,Fri,11,0.05,20
