gtfs_ride__end_time,gtfs_ride__gtfs_route_id,gtfs_ride__journey_ref,gtfs_ride__start_time,gtfs_ride_stop__arrival_time,gtfs_ride_stop__departure_time,gtfs_ride_stop__drop_off_type,gtfs_ride_stop__gtfs_ride_id,gtfs_ride_stop__gtfs_stop_id,gtfs_ride_stop__pickup_type,gtfs_ride_stop__shape_dist_traveled,gtfs_ride_stop__stop_sequence,gtfs_route__agency_name,gtfs_route__date,gtfs_route__line_ref,gtfs_route__operator_ref,gtfs_route__route_alternative,gtfs_route__route_direction,gtfs_route__route_long_name,gtfs_route__route_mkt,gtfs_route__route_short_name,gtfs_route__route_type,gtfs_stop__city,gtfs_stop__code,gtfs_stop__date,gtfs_stop__lat,gtfs_stop__lon,gtfs_stop__name,gtfs_stop_id,id,nearest_siri_vehicle_location__bearing,nearest_siri_vehicle_location__distance_from_journey_start,nearest_siri_vehicle_location__distance_from_siri_ride_stop_meters,nearest_siri_vehicle_location__lat,nearest_siri_vehicle_location__lon,nearest_siri_vehicle_location__recorded_at_time,nearest_siri_vehicle_location__siri_ride_stop_id,nearest_siri_vehicle_location__siri_snapshot_id,nearest_siri_vehicle_location__velocity,nearest_siri_vehicle_location_id,order,siri_ride__duration_minutes,siri_ride__first_vehicle_location_id,siri_ride__gtfs_ride_id,siri_ride__journey_gtfs_ride_id,siri_ride__journey_ref,siri_ride__last_vehicle_location_id,siri_ride__route_gtfs_ride_id,siri_ride__scheduled_start_time,siri_ride__siri_route_id,siri_ride__updated_duration_minutes,siri_ride__updated_first_last_vehicle_locations,siri_ride__vehicle_ref,siri_ride_id,siri_stop__code,siri_stop_id
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441362,,,,,,,,,,,53,,,,,2026-05-02-585361093,,,2026-05-02T01:30:00+00:00,9303,,,7288152,135091848,2109,7822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441349,,,,,,,,,,,35,,,,,2026-05-02-585361094,,,2026-05-02T01:45:00+00:00,9303,,,31621001,135091850,314,6482
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441348,,,,,,,,,,,51,,,,,2026-05-02-585361093,,,2026-05-02T01:30:00+00:00,9303,,,7288152,135091848,1633,30407
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441334,,,,,,,,,,,21,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,1895,32833
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441333,,,,,,,,,,,34,,,,,2026-05-02-585361094,,,2026-05-02T01:45:00+00:00,9303,,,31621001,135091850,265,4861
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441332,,,,,,,,,,,50,,,,,2026-05-02-585361093,,,2026-05-02T01:30:00+00:00,9303,,,7288152,135091848,61448,13582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441320,,,,,,,,,,,1,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,63470,2311
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441319,,,,,,,,,,,20,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,5797,2938
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441318,,,,,,,,,,,33,,,,,2026-05-02-585361094,,,2026-05-02T01:45:00+00:00,9303,,,31621001,135091850,264,2341
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441317,,,,,,,,,,,48,,,,,2026-05-02-585361093,,,2026-05-02T01:30:00+00:00,9303,,,7288152,135091848,883,5168
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441307,,,,,,,,,,,17,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,5706,16099
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441306,,,,,,,,,,,31,,,,,2026-05-02-585361094,,,2026-05-02T01:45:00+00:00,9303,,,31621001,135091850,255,124
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441292,,,,,,,,,,,15,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,875,6746
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441291,,,,,,,,,,,30,,,,,2026-05-02-585361094,,,2026-05-02T01:45:00+00:00,9303,,,31621001,135091850,4136,1510
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441290,,,,,,,,,,,46,,,,,2026-05-02-585361093,,,2026-05-02T01:30:00+00:00,9303,,,7288152,135091848,5715,2295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441279,,,,,,,,,,,13,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,879,2943
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441278,,,,,,,,,,,43,,,,,2026-05-02-585361093,,,2026-05-02T01:30:00+00:00,9303,,,7288152,135091848,5709,8071
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441268,,,,,,,,,,,1,,,,,2026-05-02-0,,,2026-05-02T02:09:06+00:00,9303,,,14544604,135091865,63470,2311
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441267,,,,,,,,,,,11,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,693,9284
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441266,,,,,,,,,,,29,,,,,2026-05-02-585361094,,,2026-05-02T01:45:00+00:00,9303,,,31621001,135091850,5799,2935
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441265,,,,,,,,,,,42,,,,,2026-05-02-585361093,,,2026-05-02T01:30:00+00:00,9303,,,7288152,135091848,380,5163
